"","ID","DemAffl","DemAge","DemClusterGroup","DemGender","DemReg","DemTVReg","PromClass","PromSpend","PromTime","TargetBuy"
"2983",6956246,11,63,"F","F","North","Yorkshire","Tin",0.01,5,1
"2984",6957250,7,56,"D","F","North","N West","Silver",5000,1,0
"2985",6957757,5,51,"D","missing","South East","S & S East","Silver",1000,5,0
"2986",6958087,3,78,"F","F","South West","S West","Gold",6000,2,0
"2987",6958451,6,68,"F","M","Midlands","East","Gold",12000,15,0
"2988",6958591,5,50,"C","M","Midlands","Wales & West","Tin",0.01,NA,0
"2989",6958877,21,32,"F","F","South East","London","Tin",0.01,4,1
"2990",6959334,6,62,"F","F","Midlands","East","Silver",3000,4,0
"2991",6960103,5,41,"C","missing","South East","London","Gold",11500,4,0
"2992",6961347,7,43,"F","M","missing","missing","Tin",0.01,5,1
"2993",6963684,6,73,"C","F","South East","S & S East","Silver",3919.58,5,0
"2994",6964443,10,58,"F","U","North","Yorkshire","Tin",0.01,9,0
"2995",6964796,10,38,"D","F","Midlands","Midlands","Gold",6000,5,1
"2996",6965547,9,47,"D","F","South East","London","Gold",6053.35,7,0
"2997",6965555,8,37,"F","F","Midlands","Midlands","Silver",40,2,0
"2998",6966195,5,NA,"B","missing","South East","S & S East","Silver",3000,16,0
"2999",6966950,7,58,"A","M","South East","London","Gold",6000,1,0
"3000",6967434,7,41,"D","F","South East","S & S East","Tin",0.01,5,1
"3001",6967728,7,66,"C","missing","South East","S & S East","Silver",1000,4,0
"3002",6967809,6,58,"E","U","North","N West","Silver",2500,13,0
"3003",6969585,11,38,"D","M","South East","London","Tin",0.01,5,0
"3004",6970303,6,53,"B","F","South East","S & S East","Platinum",20539,11,0
"3005",6971040,8,55,"F","U","North","Yorkshire","Silver",3000,21,0
"3006",6972993,12,49,"F","F","Midlands","Midlands","Silver",600,9,1
"3007",6973469,8,NA,"E","F","North","N West","Platinum",36000,11,0
"3008",6973868,18,34,"F","F","South East","S & S East","Tin",0.01,NA,1
"3009",6976174,10,34,"C","F","Midlands","Midlands","Silver",1680,4,1
"3010",6976549,9,66,"B","M","Scottish","N Scot","Tin",0.01,8,0
"3011",6977464,11,37,"D","F","South East","London","Silver",2000,5,1
"3012",6981372,12,42,"C","F","missing","missing","Silver",122.24,2,1
"3013",6981542,5,64,"A","U","Midlands","Midlands","Tin",0.01,8,0
"3014",6983014,5,55,"B","M","Scottish","C Scotland","Gold",6000,2,0
"3015",6983081,7,NA,"missing","F","North","N West","Tin",0.01,9,0
"3016",6985351,7,54,"D","F","North","N West","Tin",0.01,5,0
"3017",6985858,10,64,"E","M","North","N West","Gold",9000,5,0
"3018",6986129,NA,47,"B","M","North","N East","Silver",4000,1,0
"3019",6986617,7,NA,"E","F","North","Yorkshire","Silver",500,9,0
"3020",6987133,8,NA,"C","F","South East","London","Gold",6000,1,0
"3021",6987516,8,71,"E","missing","South East","London","Silver",2000,16,0
"3022",6990452,12,42,"D","M","South East","S & S East","Tin",0.01,5,1
"3023",6990800,9,69,"B","missing","South East","S & S East","Gold",6000,2,0
"3024",6991203,4,51,"C","M","North","Yorkshire","Silver",680,6,0
"3025",6992072,10,41,"F","M","South West","S West","Tin",0.01,7,0
"3026",6992293,13,38,"C","F","Midlands","Midlands","Tin",0.01,5,1
"3027",6994091,5,60,"C","F","Midlands","Wales & West","Silver",4000,2,0
"3028",6994369,8,25,"E","M","Midlands","East","Silver",1000,5,0
"3029",6995969,6,52,"B","F","Midlands","Midlands","Tin",0.01,4,0
"3030",6998364,19,33,"B","missing","South East","London","Tin",0.01,5,1
"3031",6999697,6,47,"B","F","South East","London","Gold",11000,6,0
"3032",7001517,6,NA,"F","F","South East","London","Tin",0.01,4,0
"3033",7007124,8,54,"C","U","South East","London","Silver",2500,3,0
"3034",7008120,6,40,"B","M","North","N East","Tin",0.01,8,0
"3035",7008805,7,54,"C","F","Midlands","Wales & West","Platinum",20274.85,3,0
"3036",7009844,6,71,"B","M","North","Yorkshire","Tin",0.01,8,0
"3037",7010451,10,36,"C","F","North","N East","Silver",1100.01,5,0
"3038",7012705,14,70,"C","missing","North","N West","Gold",5611.23,5,0
"3039",7013140,12,30,"D","M","South East","London","Silver",100,1,1
"3040",7013841,10,67,"D","F","South East","London","Silver",1000,9,0
"3041",7013965,8,44,"F","F","North","N West","Gold",9000,8,0
"3042",7014333,11,54,"F","M","South East","London","Silver",339.78,3,0
"3043",7017030,15,59,"C","F","missing","missing","Gold",6000,1,1
"3044",7020252,14,52,"B","F","South East","London","Gold",6000,2,0
"3045",7020651,7,77,"B","F","South East","S & S East","Gold",15000,5,0
"3046",7024452,11,33,"D","F","South East","London","Tin",0.01,8,1
"3047",7025106,3,68,"missing","M","South East","S & S East","Silver",4000.01,5,0
"3048",7026013,10,74,"F","U","South West","S West","Silver",4705.22,4,0
"3049",7027389,7,60,"C","F","Midlands","Wales & West","Gold",7600,8,0
"3050",7030401,NA,45,"C","M","Midlands","East","Tin",0.01,4,0
"3051",7031068,16,41,"D","M","Midlands","East","Tin",0.01,4,1
"3052",7031688,9,NA,"B","U","Midlands","Midlands","Tin",0.01,6,1
"3053",7032803,9,32,"B","F","South East","London","Silver",600,1,0
"3054",7034822,10,37,"F","F","Midlands","Midlands","Tin",0.01,8,1
"3055",7035411,8,72,"B","M","South East","London","Gold",6000,4,0
"3056",7038550,10,57,"E","missing","Scottish","N Scot","Tin",0.01,5,0
"3057",7040156,12,33,"F","U","South West","S West","Tin",0.01,4,0
"3058",7045042,5,47,"D","F","Midlands","Midlands","Tin",0.01,9,0
"3059",7048262,7,36,"D","F","missing","missing","Silver",2500,3,0
"3060",7048505,7,48,"F","U","South East","S & S East","Tin",0.01,5,0
"3061",7048785,8,70,"F","M","Midlands","Wales & West","Platinum",30000,5,0
"3062",7049900,13,46,"B","M","Midlands","East","Silver",5000,4,0
"3063",7052111,8,39,"E","missing","South East","London","Gold",9000,12,0
"3064",7053193,13,35,"E","F","South East","S & S East","Tin",0.01,4,1
"3065",7054785,6,63,"F","M","North","Yorkshire","Gold",20000,4,0
"3066",7055374,10,44,"F","F","Midlands","East","Tin",0.01,5,0
"3067",7057377,8,NA,"F","M","Midlands","Wales & West","Silver",1000,4,0
"3068",7061390,7,60,"D","F","Midlands","East","Tin",0.01,5,0
"3069",7061811,6,56,"D","F","South East","S & S East","Tin",0.01,5,0
"3070",7062060,6,43,"F","F","South East","S & S East","Tin",0.01,8,1
"3071",7062524,12,51,"C","F","Midlands","East","Silver",3000,6,1
"3072",7062931,9,64,"E","F","North","N West","Tin",0.01,7,0
"3073",7063059,7,35,"C","F","North","N East","Tin",0.01,5,0
"3074",7064020,7,32,"D","F","North","N West","Tin",0.01,5,1
"3075",7064144,9,35,"D","F","South West","S West","Tin",0.01,5,1
"3076",7064233,NA,42,"A","F","South East","London","Gold",12000,14,1
"3077",7064837,7,62,"C","F","Scottish","C Scotland","Gold",6000,5,1
"3078",7065663,6,64,"A","F","Midlands","Midlands","Platinum",31000,6,0
"3079",7066678,3,51,"D","M","North","N West","Tin",0.01,5,0
"3080",7067410,10,28,"E","F","South East","London","Silver",1200,1,1
"3081",7067526,7,73,"B","F","Scottish","C Scotland","Gold",18017.73,8,0
"3082",7068077,9,48,"F","F","Scottish","N Scot","Tin",0.01,8,0
"3083",7068344,18,49,"F","M","South East","London","Silver",2600,7,0
"3084",7069456,8,52,"D","missing","South East","London","Silver",600,6,0
"3085",7069669,8,62,"D","F","South East","London","Silver",3000,8,0
"3086",7072872,6,57,"D","F","North","Yorkshire","Gold",18140.77,7,0
"3087",7076495,10,38,"F","F","South East","S & S East","Gold",10000,6,1
"3088",7079516,NA,50,"D","F","South East","London","Tin",0.01,NA,0
"3089",7079761,10,66,"C","M","South East","London","Gold",8952.66,9,0
"3090",7080379,5,70,"A","missing","South East","London","Gold",10000,3,0
"3091",7080832,8,50,"F","M","North","N East","Gold",6000,3,0
"3092",7081189,9,77,"E","F","South West","S West","Gold",9000,3,0
"3093",7084382,10,29,"D","missing","South East","London","Tin",0.01,5,0
"3094",7086172,5,65,"C","missing","South West","S West","Tin",0.01,5,0
"3095",7087357,8,60,"A","F","South East","London","Gold",8000,3,0
"3096",7090293,9,63,"C","F","Midlands","East","Gold",6000.01,9,0
"3097",7092040,7,42,"missing","F","Midlands","Midlands","Tin",0.01,5,1
"3098",7099436,9,44,"F","F","Midlands","Wales & West","Tin",0.01,5,0
"3099",7099940,9,66,"C","U","North","N West","Silver",1000,4,0
"3100",7101937,7,39,"F","M","South East","London","Tin",0.01,5,1
"3101",7102305,11,49,"C","M","South East","London","Tin",0.01,8,0
"3102",7109423,8,32,"C","F","South East","S & S East","Silver",5000,7,1
"3103",7109946,8,69,"D","missing","Midlands","East","Silver",500,8,0
"3104",7110421,8,66,"A","missing","South East","London","Gold",6000,9,0
"3105",7114990,11,62,"E","F","South East","London","Silver",1500,5,1
"3106",7116896,7,40,"missing","U","Midlands","Wales & West","Gold",15000,5,0
"3107",7117663,6,52,"C","M","missing","missing","Silver",125,1,0
"3108",7119100,8,72,"B","missing","North","N West","Gold",6899.32,12,0
"3109",7119585,NA,48,"E","F","Scottish","C Scotland","Silver",3000,8,0
"3110",7120028,11,57,"F","M","North","N East","Silver",1500,5,0
"3111",7122381,10,37,"D","F","South East","S & S East","Tin",0.01,5,1
"3112",7124929,4,56,"C","M","North","N West","Tin",0.01,5,0
"3113",7125127,6,37,"C","F","South East","London","Silver",500,9,0
"3114",7126751,NA,31,"F","M","Scottish","Border","Tin",0.01,4,0
"3115",7126808,9,40,"F","M","South East","S & S East","Tin",0.01,5,0
"3116",7127170,6,64,"missing","M","Scottish","N Scot","Gold",6000,17,0
"3117",7130066,9,73,"A","M","South East","London","Silver",1500,28,1
"3118",7131305,10,49,"D","F","South East","London","Silver",0.02,8,0
"3119",7132433,11,26,"F","F","South East","London","Tin",0.01,4,1
"3120",7135335,9,NA,"D","F","South East","London","Silver",1500,2,1
"3121",7135475,8,44,"A","M","South East","London","Gold",6000,21,0
"3122",7135777,7,70,"D","U","Scottish","N Scot","Silver",500,13,0
"3123",7137842,14,48,"C","M","Midlands","Wales & West","Silver",3100,5,0
"3124",7139853,11,65,"E","F","South East","S & S East","Gold",7000.02,4,0
"3125",7139969,16,65,"F","M","Midlands","Wales & West","Silver",600,8,0
"3126",7141912,11,74,"D","F","South West","S West","Silver",1000,4,0
"3127",7142846,6,49,"B","M","North","N West","Gold",6300,27,0
"3128",7145667,8,61,"D","missing","Midlands","Midlands","Tin",0.01,8,1
"3129",7147236,3,69,"D","M","Midlands","Midlands","Silver",1000,8,0
"3130",7147430,13,26,"E","F","North","Yorkshire","Silver",1250,1,1
"3131",7147570,7,49,"B","missing","missing","missing","Silver",2.66,13,0
"3132",7147988,7,77,"C","missing","Midlands","Wales & West","Silver",3000,8,0
"3133",7148577,6,66,"D","M","South East","S & S East","Silver",4884.25,8,0
"3134",7148712,9,67,"E","M","South East","London","Gold",16000,5,0
"3135",7149271,14,41,"F","M","Scottish","C Scotland","Silver",50.01,8,0
"3136",7150598,NA,37,"D","M","South East","London","Tin",0.01,8,0
"3137",7151233,7,58,"C","M","South East","London","Silver",800,9,0
"3138",7151764,8,NA,"C","U","South East","London","Tin",0.01,8,0
"3139",7152078,10,35,"F","M","Midlands","Midlands","Gold",6000,11,1
"3140",7152590,8,33,"B","F","South East","London","Tin",0.01,11,1
"3141",7152922,NA,77,"E","F","Midlands","Midlands","Gold",9000,8,1
"3142",7157290,7,52,"C","M","Midlands","Midlands","Silver",1000,12,0
"3143",7158327,9,49,"C","M","South East","London","Tin",0.01,5,0
"3144",7158408,12,47,"A","F","North","N West","Silver",500,7,1
"3145",7158513,11,NA,"D","M","South East","London","Gold",6053.36,8,0
"3146",7160046,8,45,"D","U","South East","London","Tin",0.01,5,0
"3147",7161549,6,NA,"B","M","Midlands","Wales & West","Silver",2480,5,0
"3148",7164777,6,52,"C","M","Midlands","Wales & West","Silver",60.01,8,0
"3149",7164939,2,69,"F","F","South East","S & S East","Gold",6000,6,0
"3150",7166192,10,51,"C","U","South East","S & S East","Silver",3000,8,0
"3151",7166710,7,74,"E","missing","South East","London","Silver",3000,6,0
"3152",7167288,15,47,"A","F","South East","London","Tin",0.01,6,0
"3153",7168314,12,53,"D","M","missing","missing","Tin",0.01,8,0
"3154",7169485,10,63,"B","F","South East","London","Silver",1100,9,0
"3155",7171749,6,53,"D","F","Midlands","Wales & West","Tin",0.01,9,0
"3156",7173725,10,49,"B","missing","North","N East","Tin",0.01,8,0
"3157",7174802,4,69,"C","F","South East","London","Silver",3000,16,1
"3158",7175019,7,61,"A","M","South East","London","Gold",8120.37,3,0
"3159",7175124,10,64,"B","F","South East","S & S East","Gold",9000,13,1
"3160",7175760,4,37,"F","U","Midlands","East","Silver",3000.01,4,0
"3161",7178158,NA,40,"B","missing","Midlands","East","Gold",6000,1,1
"3162",7179863,7,77,"C","missing","Midlands","Wales & West","Gold",9035.46,8,0
"3163",7181744,5,39,"D","M","South East","S & S East","Silver",4200,11,0
"3164",7181892,11,40,"D","F","South East","London","Silver",2300,9,0
"3165",7184220,9,50,"missing","F","Midlands","Ulster","Gold",6000,10,0
"3166",7184832,5,65,"C","F","South East","S & S East","Silver",1000,5,0
"3167",7186215,6,68,"C","M","Midlands","Midlands","Platinum",26088.81,11,0
"3168",7188706,6,69,"B","missing","North","N West","Silver",2000,9,0
"3169",7190565,6,31,"F","F","North","Yorkshire","Silver",2000,2,1
"3170",7192312,NA,77,"A","F","North","Yorkshire","Gold",12000,13,0
"3171",7197284,8,30,"missing","F","South East","London","Tin",0.01,9,0
"3172",7199228,11,43,"F","missing","Midlands","Midlands","Tin",0.01,4,1
"3173",7200374,10,53,"A","M","Midlands","Wales & West","Tin",0.01,5,0
"3174",7200994,8,43,"C","F","Midlands","Midlands","Gold",6000,4,0
"3175",7201761,9,61,"B","M","South East","S & S East","Silver",2500,16,1
"3176",7202601,8,67,"D","U","South East","London","Gold",6000,29,0
"3177",7202822,4,52,"C","F","Midlands","East","Tin",0.01,7,0
"3178",7204108,6,45,"D","M","Midlands","Wales & West","Silver",1300,8,0
"3179",7206852,NA,64,"C","U","Midlands","Wales & West","Silver",100,2,0
"3180",7207336,7,NA,"F","F","Scottish","C Scotland","Tin",0.01,5,0
"3181",7208200,10,60,"D","missing","South East","S & S East","Silver",1000,5,0
"3182",7210329,16,65,"B","F","Scottish","N Scot","Gold",6053.35,7,0
"3183",7210558,5,NA,"E","U","South East","S & S East","Tin",0.01,4,0
"3184",7211325,7,60,"E","F","South East","S & S East","Gold",11500,4,0
"3185",7212038,7,59,"D","F","Midlands","East","Silver",1000,5,0
"3186",7212313,12,52,"F","M","Midlands","Midlands","Gold",11351.34,2,0
"3187",7212720,NA,NA,"B","F","missing","missing","Gold",6000,1,1
"3188",7213514,6,55,"B","M","North","N East","Silver",2000,5,0
"3189",7214375,14,46,"A","F","South East","London","Gold",11000,2,1
"3190",7216890,6,32,"D","F","missing","missing","Silver",500,9,1
"3191",7217293,9,53,"F","M","Midlands","Midlands","Tin",0.01,5,0
"3192",7220553,13,79,"C","F","Midlands","Midlands","Platinum",27000,21,0
"3193",7225148,6,36,"D","F","South East","London","Tin",0.01,4,0
"3194",7226829,10,61,"C","M","Midlands","East","Tin",0.01,8,0
"3195",7227787,14,39,"B","F","Midlands","Midlands","Tin",0.01,9,1
"3196",7228546,12,NA,"C","missing","Midlands","Wales & West","Silver",0.03,9,0
"3197",7231407,6,54,"F","F","North","N West","Silver",3000,7,0
"3198",7234368,9,24,"D","F","Midlands","Midlands","Silver",4500,7,1
"3199",7236468,7,47,"B","M","South East","S & S East","Gold",12158.67,13,0
"3200",7239599,12,56,"A","M","South East","London","Gold",9600.43,15,0
"3201",7240201,10,48,"E","F","North","Yorkshire","Tin",0.01,8,0
"3202",7240309,7,41,"F","M","South East","London","Silver",1443.24,12,0
"3203",7240600,8,54,"C","M","Midlands","Wales & West","Tin",0.01,5,0
"3204",7240910,11,72,"F","M","Scottish","C Scotland","Tin",0.01,13,0
"3205",7246129,7,50,"B","F","South East","London","Tin",0.01,4,0
"3206",7246250,5,67,"C","F","North","N West","Platinum",50000,4,0
"3207",7248180,6,49,"missing","F","South East","London","Tin",0.01,5,0
"3208",7248423,9,55,"D","F","South East","London","Tin",0.01,NA,0
"3209",7249268,6,35,"F","missing","Midlands","Midlands","Silver",600,4,0
"3210",7250916,12,53,"D","F","Midlands","East","Tin",0.01,4,1
"3211",7256035,NA,66,"C","F","North","Yorkshire","Silver",0.02,5,0
"3212",7256167,NA,66,"B","F","Midlands","East","Silver",2000,5,0
"3213",7257228,7,63,"D","F","Midlands","Wales & West","Gold",10000,9,0
"3214",7262248,6,53,"D","M","Midlands","Wales & West","Tin",0.01,9,0
"3215",7262353,9,51,"C","F","South East","London","Tin",0.01,10,0
"3216",7263457,8,33,"D","M","Midlands","Midlands","Tin",0.01,4,0
"3217",7263813,12,59,"E","U","Midlands","Wales & West","Silver",2000,3,0
"3218",7264712,5,64,"E","F","Midlands","East","Tin",0.01,NA,0
"3219",7266219,8,45,"A","missing","Scottish","C Scotland","Tin",0.01,5,0
"3220",7269749,8,69,"F","F","Midlands","Wales & West","Silver",2200,5,0
"3221",7270291,11,37,"F","F","Scottish","C Scotland","Silver",500,8,1
"3222",7272308,14,NA,"D","F","Midlands","Midlands","Gold",5997.81,2,1
"3223",7273576,8,28,"D","U","Scottish","C Scotland","Silver",89.29,4,0
"3224",7273932,8,49,"F","F","North","Yorkshire","Tin",0.01,4,0
"3225",7274122,4,51,"B","F","North","N West","Platinum",20527.8,3,0
"3226",7275463,7,42,"D","F","Midlands","Midlands","Tin",0.01,8,1
"3227",7275935,6,24,"F","M","North","Yorkshire","Gold",6000,2,1
"3228",7276761,5,48,"B","M","South East","London","Silver",2000,5,1
"3229",7277598,NA,58,"A","M","South East","London","Silver",3000,8,0
"3230",7277792,6,30,"F","F","Midlands","Midlands","Tin",0.01,5,0
"3231",7278632,10,56,"B","M","South East","London","Gold",12000,8,1
"3232",7280017,8,53,"missing","F","Midlands","Ulster","Tin",0.01,5,0
"3233",7280238,10,56,"D","missing","Scottish","C Scotland","Gold",6000,5,0
"3234",7280351,7,NA,"F","M","South East","London","Silver",100,11,0
"3235",7283504,7,76,"A","M","South East","London","Tin",0.01,NA,0
"3236",7284381,9,73,"D","M","South East","London","Silver",5000,4,0
"3237",7285159,7,36,"F","F","South East","S & S East","Gold",6000,11,0
"3238",7285671,11,71,"B","F","Midlands","Wales & West","Gold",6000,2,0
"3239",7287720,9,48,"B","F","South East","London","Silver",1200,5,0
"3240",7288387,3,55,"C","F","North","N West","Silver",1092.22,5,0
"3241",7288808,9,78,"D","F","South West","S West","Silver",4100,9,1
"3242",7289928,12,46,"C","F","North","Yorkshire","Tin",0.01,5,0
"3243",7290357,9,76,"F","F","South East","London","Silver",4000,5,0
"3244",7292384,8,72,"B","F","South East","S & S East","Gold",12000,3,0
"3245",7294182,10,53,"E","F","North","N West","Tin",0.01,5,0
"3246",7294808,8,33,"E","F","South East","London","Silver",3000,8,0
"3247",7299141,3,63,"E","F","South East","London","Silver",3000.01,8,0
"3248",7299850,2,25,"F","U","Midlands","Wales & West","Silver",12.5,2,0
"3249",7301499,6,72,"C","M","missing","missing","Gold",6000,2,1
"3250",7304099,6,41,"B","M","Midlands","East","Silver",1000.01,9,0
"3251",7307861,6,67,"C","M","Midlands","Wales & West","Tin",0.01,8,0
"3252",7309856,14,69,"D","F","South East","S & S East","Silver",5000,4,0
"3253",7311222,10,34,"F","F","Midlands","East","Silver",1500,9,1
"3254",7323255,8,53,"D","F","South East","London","Gold",6000,2,0
"3255",7326599,8,38,"C","U","North","N West","Tin",0.01,7,0
"3256",7326637,7,NA,"C","M","South East","London","Gold",6053.34,4,0
"3257",7329172,12,47,"D","F","South East","London","Silver",2000,1,0
"3258",7329628,7,72,"E","missing","South East","London","Platinum",22000,14,0
"3259",7330014,3,67,"B","U","South East","London","Platinum",21000,5,0
"3260",7337485,8,37,"missing","F","Midlands","Midlands","Tin",0.01,5,1
"3261",7338589,3,53,"B","M","North","Yorkshire","Silver",4884.25,8,0
"3262",7349475,11,66,"C","U","Midlands","Midlands","Silver",4000,11,0
"3263",7349769,12,68,"C","U","Midlands","East","Silver",5000,4,0
"3264",7349785,8,59,"C","F","Midlands","Wales & West","Gold",12000.01,2,0
"3265",7350341,8,61,"C","M","South East","London","Silver",3600,11,0
"3266",7351437,9,42,"C","M","South East","S & S East","Tin",0.01,8,1
"3267",7352158,15,58,"B","F","South East","S & S East","Gold",12105.32,7,1
"3268",7352565,11,51,"F","F","North","Yorkshire","Tin",0.01,8,0
"3269",7353286,7,48,"F","missing","Midlands","Midlands","Silver",500,8,0
"3270",7353359,6,NA,"C","U","South East","London","Tin",0.01,5,0
"3271",7354215,7,56,"D","F","Midlands","Wales & West","Gold",6025,6,0
"3272",7356935,10,46,"F","F","North","N West","Silver",5000,2,0
"3273",7358075,2,60,"B","F","South East","S & S East","Gold",6000,3,1
"3274",7358474,7,46,"D","missing","North","N West","Tin",0.01,5,0
"3275",7360908,8,39,"B","missing","Scottish","N Scot","Tin",0.01,5,0
"3276",7362137,10,55,"F","F","Scottish","C Scotland","Silver",600,8,0
"3277",7362153,6,51,"A","F","South East","London","Silver",3000,2,0
"3278",7367953,NA,45,"F","F","South East","London","Silver",4000,7,0
"3279",7368410,8,31,"F","F","Midlands","Wales & West","Silver",600,9,1
"3280",7368968,6,67,"C","U","South East","S & S East","Gold",9000,3,0
"3281",7369514,6,42,"E","missing","Scottish","C Scotland","Gold",8100,4,0
"3282",7370032,8,38,"F","F","Midlands","Midlands","Tin",0.01,8,0
"3283",7371365,1,46,"D","M","North","Yorkshire","Tin",0.01,5,0
"3284",7377223,8,56,"E","missing","South East","S & S East","Silver",4000,3,0
"3285",7377789,5,55,"D","M","South East","London","Tin",0.01,8,0
"3286",7381115,11,50,"A","M","South East","London","Silver",3000,3,0
"3287",7387032,11,54,"D","M","North","N West","Gold",13000,1,0
"3288",7391781,9,48,"C","missing","Midlands","Wales & West","Tin",0.01,5,0
"3289",7392079,11,40,"B","F","Scottish","Border","Silver",3000,1,1
"3290",7395248,5,32,"C","F","North","N West","Silver",840,5,0
"3291",7398786,13,31,"D","F","South East","London","Silver",1000,4,1
"3292",7399383,6,36,"B","F","Scottish","Border","Silver",600,10,1
"3293",7400292,12,37,"C","F","Midlands","Wales & West","Gold",6000,1,1
"3294",7400675,9,52,"E","F","Midlands","East","Silver",3500,7,0
"3295",7401183,6,72,"B","M","North","N East","Platinum",23776.73,11,0
"3296",7402937,14,43,"C","F","South East","S & S East","Tin",0.01,4,0
"3297",7403550,7,45,"C","M","North","Yorkshire","Silver",300,9,0
"3298",7404921,3,50,"B","M","South West","S West","Silver",3000,1,1
"3299",7406568,10,74,"A","F","South East","London","Platinum",20678.85,15,0
"3300",7406711,6,71,"F","U","North","N West","Platinum",20721.07,3,0
"3301",7407726,7,56,"C","missing","Midlands","East","Tin",0.01,NA,0
"3302",7409656,6,52,"B","M","South East","London","Gold",6000,6,0
"3303",7413203,8,41,"F","U","North","Yorkshire","Tin",0.01,4,0
"3304",7414242,5,69,"A","F","South East","London","Silver",1262.01,16,0
"3305",7415575,13,43,"F","missing","Scottish","C Scotland","Tin",0.01,5,0
"3306",7419392,7,74,"E","F","Midlands","East","Silver",5000,4,0
"3307",7420668,4,77,"C","F","North","N West","Gold",9025,11,0
"3308",7426496,9,71,"C","missing","missing","missing","Gold",6000,1,0
"3309",7426763,14,63,"D","missing","South East","S & S East","Silver",3000,7,0
"3310",7428812,6,60,"C","F","South West","S West","Tin",0.01,4,0
"3311",7429355,13,54,"E","U","South East","S & S East","Silver",2500,2,0
"3312",7432631,11,67,"B","F","Midlands","Wales & West","Gold",10000,4,1
"3313",7433301,9,57,"C","M","Scottish","Border","Silver",3000,8,0
"3314",7433808,6,35,"D","missing","South East","London","Tin",0.01,9,1
"3315",7433905,7,65,"missing","F","Midlands","Ulster","Gold",6000,6,0
"3316",7436696,10,56,"B","F","Midlands","Wales & West","Silver",3000,5,0
"3317",7437277,6,39,"C","U","South East","S & S East","Silver",250.01,9,0
"3318",7438060,10,42,"F","missing","South West","S West","Tin",0.01,5,0
"3319",7438257,12,41,"D","F","South East","London","Gold",12155.32,7,0
"3320",7441371,11,68,"C","F","South East","London","Silver",3000,3,1
"3321",7441592,14,70,"C","F","North","Yorkshire","Silver",3000,1,0
"3322",7443277,7,54,"F","M","Midlands","Midlands","Tin",0.01,10,0
"3323",7443935,NA,55,"D","U","South East","S & S East","Silver",1700,9,0
"3324",7445172,6,63,"E","M","South East","S & S East","Gold",10000,4,0
"3325",7445695,14,69,"A","M","South East","London","Gold",8505.32,11,1
"3326",7446012,10,67,"C","F","South East","London","Tin",0.01,8,0
"3327",7447655,7,48,"C","F","South East","S & S East","Gold",9000,10,0
"3328",7448066,2,54,"E","missing","South East","London","Gold",20000,18,0
"3329",7448317,11,62,"C","M","Midlands","East","Gold",12000,10,0
"3330",7449992,7,76,"E","F","Midlands","East","Silver",4000,12,1
"3331",7451067,4,58,"F","U","North","Yorkshire","Tin",0.01,6,0
"3332",7455062,11,52,"D","F","Midlands","Wales & West","Gold",10000,3,1
"3333",7456735,6,29,"B","M","Scottish","C Scotland","Gold",12000,3,1
"3334",7459017,4,51,"B","F","South East","S & S East","Tin",0.01,6,0
"3335",7463685,4,60,"E","missing","Midlands","Midlands","Silver",3000,2,0
"3336",7479476,4,52,"C","M","South East","London","Tin",0.01,8,0
"3337",7484097,12,69,"D","M","Midlands","Wales & West","Gold",10000,4,0
"3338",7486138,NA,36,"C","F","South East","London","Gold",10000,5,1
"3339",7486685,10,69,"A","F","South East","London","Gold",10000,16,0
"3340",7491158,8,76,"E","F","Midlands","East","Platinum",35042.92,12,0
"3341",7492197,6,71,"B","M","North","N West","Silver",2000,8,0
"3342",7501889,6,NA,"D","M","South East","London","Tin",0.01,8,0
"3343",7504268,10,40,"E","F","Midlands","East","Tin",0.01,8,1
"3344",7505868,13,41,"A","U","South East","London","Gold",6000,4,1
"3345",7509138,3,52,"A","M","South East","London","Tin",0.01,14,0
"3346",7510160,6,71,"B","M","Midlands","Wales & West","Gold",18266.31,11,0
"3347",7511361,7,46,"A","missing","Midlands","Wales & West","Gold",9000,8,0
"3348",7511566,15,37,"A","F","South East","London","Silver",1500,8,1
"3349",7512422,NA,53,"E","F","Midlands","East","Tin",0.01,8,0
"3350",7512643,5,NA,"C","U","Midlands","Midlands","Silver",3000,3,0
"3351",7512813,20,35,"C","M","South East","London","Silver",1000,3,1
"3352",7512996,15,65,"F","F","North","N West","Gold",6053.34,4,0
"3353",7513534,10,75,"C","M","South East","London","Platinum",26000,4,0
"3354",7513887,18,46,"C","F","North","Yorkshire","Tin",0.01,8,1
"3355",7514115,9,58,"C","F","South East","London","Gold",6000,17,0
"3356",7514883,5,67,"E","F","South East","London","Gold",10000,4,0
"3357",7515278,8,64,"C","F","Midlands","Wales & West","Silver",0.02,5,1
"3358",7517505,7,56,"B","F","South East","London","Silver",5000,3,0
"3359",7518463,7,38,"D","U","South East","London","Tin",0.01,8,0
"3360",7519370,6,51,"D","F","Midlands","Midlands","Tin",0.01,5,0
"3361",7520581,8,28,"missing","F","Midlands","Midlands","Silver",600,1,0
"3362",7521340,6,56,"C","F","North","N West","Tin",0.01,7,0
"3363",7521685,9,52,"E","missing","South East","S & S East","Silver",4000,6,0
"3364",7521774,7,49,"C","M","South East","London","Tin",0.01,8,0
"3365",7522193,5,45,"B","missing","South East","London","Gold",6000,2,0
"3366",7522290,5,42,"F","M","Midlands","Midlands","Tin",0.01,5,0
